name_product,product_link,price_sale,price_original,discount,sold,rating,image_link
TORCH Kushala Messenger Bag Tas Laptop 15 inch Minimalis Ringan Kuat Muat Banyak Pria Wanita,https://www.tokopedia.com/torch-id/torch-kushala-messenger-bag-tas-laptop-15-inch-minimalis-ringan-kuat-muat-banyak-pria-wanita?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp183.120,Rp218.000,16%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/1/2/1dd5a52c-d029-478b-a4a4-f9d5a8929767.png
TORCH Pouch Mini Pouch Gantungan Kunci Dompet EarleTWS Headset Bluetooth Keychain Earle,https://www.tokopedia.com/torch-id/torch-pouch-mini-pouch-gantungan-kunci-dompet-earletws-headset-bluetooth-keychain-earle-grey-efd90?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp51.428,Rp59.800,14%,7 terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/31/2cf93d2f-7a64-41eb-b0c4-4c8ab787bfe2.jpg
Torch Gantungan Label Tas Backpack Koper Dafi Square Luggage,https://www.tokopedia.com/torch-id/torch-gantungan-label-tas-backpack-koper-dafi-square-luggage-red-05dcd?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp41.760,Rp48.000,13%,4 terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/31/43dca1f4-3b9d-4530-8210-501a27010c77.jpg
Torch Gantungan Label Koper Tas Backpack Dafi Round Luggage,https://www.tokopedia.com/torch-id/torch-gantungan-label-koper-tas-backpack-dafi-round-luggage-red-69b41?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp41.760,Rp48.000,13%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/31/9c7fe591-5e98-43e4-bd3e-f3fb9cc18e1c.jpg
Torch Foldable Sling Bag Mini Pouch Tas Serut Dayita,https://www.tokopedia.com/torch-id/torch-foldable-sling-bag-mini-pouch-tas-serut-dayita-grey-navy-1216e?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp100.300,Rp118.000,15%,2 terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/31/8f05c1a7-bb6c-404e-b5e6-8cbc95b30af6.jpg
TORCH Sling Bag Wanita Pria Unisex Tas Selempang Minimalis Anti Air Travi,https://www.tokopedia.com/torch-id/torch-sling-bag-wanita-pria-unisex-tas-selempang-minimalis-anti-air-travi-black-69b99?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp122.840,Rp148.000,17%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/30/6f1267b1-2752-4179-91c0-69af41be6017.jpg
TORCH Tas Selempang Sling Bag Shoulder Pria Wanita Waterproof Outdoor Ranggi,https://www.tokopedia.com/torch-id/torch-tas-selempang-sling-bag-shoulder-pria-wanita-waterproof-outdoor-ranggi-black-bf57e?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp151.200,Rp168.000,10%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/30/be5751f9-7f3a-4e56-9bd8-683cf94248f6.jpg
Torch Backpack Ringkas - Tas Ransel Laptop Punggung Sekolah Kuliah Kerja Minimalis Ringan Outdoor,https://www.tokopedia.com/torch-id/torch-backpack-ringkas-tas-ransel-laptop-punggung-sekolah-kuliah-kerja-minimalis-ringan-outdoor-black-f2a1b?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp236.300,Rp278.000,15%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/30/bfe624ec-1743-45cc-adf2-747d13ba26ae.jpg
Torch Backpack Ringkas Tas Ransel Punggung Laptop Minimalis Ringan Sekolah Kerja Kuliah Stylish,https://www.tokopedia.com/torch-id/torch-backpack-ringkas-tas-ransel-punggung-laptop-minimalis-ringan-sekolah-kerja-kuliah-stylish-black-7f979?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp236.300,Rp278.000,15%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/30/c2eeb59e-e715-4e66-8f5c-c6c4577a0a4f.jpg
Torch Tas Multifungsi Gamer Ipad Multiway Gaming Stylish Sling Bag Armore,https://www.tokopedia.com/torch-id/torch-tas-multifungsi-gamer-ipad-multiway-gaming-stylish-sling-bag-armore?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,Rp191.520,Rp228.000,16%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/12/30/0a72711d-ce6f-4a1d-aed9-da7b865b9935.jpg
