name_product,category,price_original,price_sale,discount,condition,availability,date_seen,weight_kg,shipping,merchant
SANUS VLF410B1 10 INCH SUPER SLIM FULL MOTION MOUNT FOR 37 84 INCHES TV S,Electronics,104.99,104.99,No Discount,New,Available,2017-03-03,14.88,Undefined,Bestbuy
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.0,64.99,6%,New,Available,2017-12-14,6.35,Expedited Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.0,69.0,No Discount,New,Available,2017-09-08,6.35,Expedited Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.99,69.99,No Discount,New,Available,2017-10-10,6.35,Undefined,Bestbuy
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,66.99,66.99,No Discount,New,Available,2017-08-28,6.35,Undefined,Bestbuy
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,66.0,66.0,No Discount,New,Available,2017-10-24,6.35,Expedited Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,74.99,74.99,No Discount,New,Available,2017-08-15,6.35,Undefined,California Electronics
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,65.99,65.99,No Discount,New,Available,2017-08-12,6.35,Undefined,Bestbuy
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.99,69.99,No Discount,New,Available,2017-09-14,6.35,Expedited Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.0,64.0,7%,New,Available,2018-01-21,6.35,Standard Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,69.99,69.99,No Discount,New,Available,2018-05-26,6.35,Undefined,Bestbuy
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,64.99,64.99,No Discount,New,Available,2017-07-23,6.35,Expedited Shipping,Walmart
BOYTONE 2500W 2.1 CH. HOME THEATER SYSTEM BLACK DIAMOND,Electronics,64.99,64.99,No Discount,New,Available,2017-03-03,6.35,Undefined,Bestbuy
DENAQ AC ADAPTER FOR TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X BLACK,Electronics,23.99,23.99,No Discount,New,Available,2018-05-26,0.54,Undefined,Bestbuy
DENAQ AC ADAPTER FOR TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X BLACK,Electronics,31.99,31.99,No Discount,New,Available,2015-03-25,0.54,Undefined,Wayfair - Walmart
DENAQ AC ADAPTER FOR TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X BLACK,Electronics,20.99,20.99,No Discount,New,Available,2014-10-27,0.54,Free Shipping,Bestbuy
DENAQ AC ADAPTER FOR TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X BLACK,Electronics,34.99,34.99,No Discount,New,Available,2015-04-23,0.54,Undefined,Wayfair - Walmart
DENAQ AC ADAPTER FOR TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X BLACK,Electronics,23.99,23.99,No Discount,New,Available,2016-11-08,0.54,Undefined,Bestbuy
"DREAMWAVE TREMOR PORTABLE BLUETOOTH SPEAKER GREEN,BLACK",Electronics,290.99,290.99,No Discount,New,Available,2017-03-04,5.99,Undefined,Bestbuy
"DREAMWAVE TREMOR PORTABLE BLUETOOTH SPEAKER GREEN,BLACK",Electronics,279.99,279.99,No Discount,New,Available,2017-06-01,5.99,Undefined,Bestbuy
"DREAMWAVE TREMOR PORTABLE BLUETOOTH SPEAKER GREEN,BLACK",Electronics,299.99,299.99,No Discount,New,Available,2018-05-26,5.99,Undefined,Bestbuy
"DREAMWAVE TREMOR PORTABLE BLUETOOTH SPEAKER GREEN,BLACK",Electronics,225.99,225.99,No Discount,New,Available,2018-05-26,5.99,Undefined,Bestbuy
"DREAMWAVE TREMOR PORTABLE BLUETOOTH SPEAKER GREEN,BLACK",Electronics,289.99,289.99,No Discount,New,Available,2017-08-30,5.99,Undefined,Bestbuy
NS SP1800BL 5.1 CHANNEL HOME THEATER SYSTEM (BLACK),Electronics,244.01,244.01,No Discount,New,Available,2018-01-18,11.11,Undefined,Growkart
NS SP1800BL 5.1 CHANNEL HOME THEATER SYSTEM (BLACK),Electronics,132.99,132.99,No Discount,New,Available,2015-07-02,11.11,Free Shipping,Bestbuy
NS SP1800BL 5.1 CHANNEL HOME THEATER SYSTEM (BLACK),Electronics,149.99,149.99,No Discount,New,Available,2017-03-03,11.11,Undefined,Bestbuy
NS SP1800BL 5.1 CHANNEL HOME THEATER SYSTEM (BLACK),Electronics,149.95,149.95,No Discount,New,Available,2017-08-19,11.11,Free Shipping,bhphotovideo
NS SP1800BL 5.1 CHANNEL HOME THEATER SYSTEM (BLACK),Electronics,136.99,136.99,No Discount,New,Available,2015-03-10,11.11,Free Shipping,Bestbuy
UNIVERSAL REMOTE CONTROL 48 DEVICE UNIVERSAL REMOTE BLACK,Electronics,254.99,254.99,No Discount,New,Available,2017-03-04,0.5,Undefined,Bestbuy
UNIVERSAL REMOTE CONTROL 48 DEVICE UNIVERSAL REMOTE BLACK,Electronics,209.99,209.99,No Discount,New,Available,2017-03-30,0.5,Undefined,Bestbuy
UNIVERSAL REMOTE CONTROL 48 DEVICE UNIVERSAL REMOTE BLACK,Electronics,299.98,299.98,No Discount,New,Available,2018-05-26,0.5,Undefined,Bestbuy
UNIVERSAL REMOTE CONTROL 48 DEVICE UNIVERSAL REMOTE BLACK,Electronics,239.99,239.99,No Discount,New,Available,2017-05-01,0.5,Undefined,Bestbuy
UNIVERSAL REMOTE CONTROL 48 DEVICE UNIVERSAL REMOTE BLACK,Electronics,299.98,299.98,No Discount,New,Available,2017-03-04,0.5,Undefined,Bestbuy
ACOUSTIMASS 6 SERIES V HOME THEATER SPEAKER SYSTEM (BLACK),Electronics,499.0,499.0,No Discount,New,Available,2017-11-18,0.54,Free Shipping,bhphotovideo
ACOUSTIMASS 6 SERIES V HOME THEATER SPEAKER SYSTEM (BLACK),Electronics,699.99,699.99,No Discount,New,Available,2017-03-03,0.54,Undefined,Bestbuy
ACOUSTIMASS 6 SERIES V HOME THEATER SPEAKER SYSTEM (BLACK),Electronics,699.0,699.0,No Discount,New,Available,2017-08-19,0.54,Free Shipping,bhphotovideo
ACOUSTIMASS 6 SERIES V HOME THEATER SPEAKER SYSTEM (BLACK),Electronics,689.95,689.95,No Discount,New,Available,2017-08-28,0.54,Free Shipping,bargainbrokers
ACOUSTIMASS 6 SERIES V HOME THEATER SPEAKER SYSTEM (BLACK),Electronics,599.0,599.0,No Discount,New,Available,2017-12-04,0.54,Free Shipping,bhphotovideo
SAMSUNG 850 PRO 512GB INTERNAL SATA III SOLID STATE DRIVE FOR LAPTOPS,Electronics,224.99,224.99,No Discount,New,Available,2018-05-26,0.0,Undefined,Bestbuy
SAMSUNG 850 PRO 512GB INTERNAL SATA III SOLID STATE DRIVE FOR LAPTOPS,Electronics,249.99,249.99,No Discount,New,Available,2018-05-26,0.0,Undefined,Bestbuy
CORSAIR VENGEANCE LPX 16GB (2X8GB) DDR4 DRAM 3000MHZ C15 DESKTOP MEMORY KIT BLACK (CMK16GX4M2B3000C15),Electronics,139.99,139.99,No Discount,New,Available,2017-07-26,0.09,Undefined,Bestbuy
CORSAIR VENGEANCE LPX 16GB (2X8GB) DDR4 DRAM 3000MHZ C15 DESKTOP MEMORY KIT BLACK (CMK16GX4M2B3000C15),Electronics,162.99,162.99,No Discount,New,Available,2017-10-10,0.09,Undefined,Bestbuy
CORSAIR VENGEANCE LPX 16GB (2X8GB) DDR4 DRAM 3000MHZ C15 DESKTOP MEMORY KIT BLACK (CMK16GX4M2B3000C15),Electronics,189.99,189.99,No Discount,New,Available,2018-05-26,0.09,Undefined,Bestbuy
CORSAIR VENGEANCE LPX 16GB (2X8GB) DDR4 DRAM 3000MHZ C15 DESKTOP MEMORY KIT BLACK (CMK16GX4M2B3000C15),Electronics,194.82,194.82,No Discount,New,Available,2017-09-28,0.09,Standard Shipping,Beach Audio Inc
CORSAIR VENGEANCE LPX 16GB (2X8GB) DDR4 DRAM 3000MHZ C15 DESKTOP MEMORY KIT BLACK (CMK16GX4M2B3000C15),Electronics,149.99,149.99,No Discount,New,Available,2017-09-06,0.09,Undefined,Bestbuy
